country,date,confirmed,deaths,new_confirmed,new_deaths,tagged_day
Monaco,3/22/20,23,0,12,0,1
Monaco,3/23/20,23,0,0,0,2
Monaco,3/24/20,23,0,0,0,3
Monaco,3/25/20,31,0,8,0,4
Monaco,3/26/20,33,0,2,0,5
Monaco,3/27/20,42,0,9,0,6
Monaco,3/28/20,42,0,0,0,7
Monaco,3/29/20,46,1,4,1,8
Monaco,3/30/20,49,1,3,0,9
Monaco,3/31/20,52,1,3,0,10
Monaco,4/1/20,55,1,3,0,11
Monaco,4/2/20,60,1,5,0,12
Monaco,4/3/20,64,1,4,0,13
Monaco,4/4/20,66,1,2,0,14
Monaco,4/5/20,73,1,7,0,15
Monaco,4/6/20,77,1,4,0,16
Monaco,4/7/20,79,1,2,0,17
Monaco,4/8/20,81,1,2,0,18
Monaco,4/9/20,84,1,3,0,19
Monaco,4/10/20,90,1,6,0,20
Monaco,4/11/20,92,1,2,0,21
Monaco,4/12/20,93,1,1,0,22
Monaco,4/13/20,93,1,0,0,23
Monaco,4/14/20,93,1,0,0,24
Monaco,4/15/20,93,3,0,2,25
Monaco,4/16/20,93,3,0,0,26
Monaco,4/17/20,94,3,1,0,27
Monaco,4/18/20,94,3,0,0,28
Monaco,4/19/20,94,3,0,0,29
Monaco,4/20/20,94,3,0,0,30
Monaco,4/21/20,94,3,0,0,31
Monaco,4/22/20,94,3,0,0,32
Monaco,4/23/20,94,4,0,1,33
Monaco,4/24/20,94,4,0,0,34
Monaco,4/25/20,94,4,0,0,35
Monaco,4/26/20,94,4,0,0,36
Monaco,4/27/20,95,4,1,0,37
Monaco,4/28/20,95,4,0,0,38
Monaco,4/29/20,95,4,0,0,39
Monaco,4/30/20,95,4,0,0,40
Monaco,5/1/20,95,4,0,0,41
Monaco,5/2/20,95,4,0,0,42
Monaco,5/3/20,95,4,0,0,43
Monaco,5/4/20,95,4,0,0,44
Monaco,5/5/20,95,4,0,0,45
Monaco,5/6/20,95,4,0,0,46
Monaco,5/7/20,95,4,0,0,47
Monaco,5/8/20,95,4,0,0,48
Monaco,5/9/20,96,4,1,0,49
Monaco,5/10/20,96,4,0,0,50
Monaco,5/11/20,96,4,0,0,51
Monaco,5/12/20,96,4,0,0,52
Monaco,5/13/20,96,4,0,0,53
Monaco,5/14/20,96,4,0,0,54
Monaco,5/15/20,96,4,0,0,55
Monaco,5/16/20,96,4,0,0,56
Monaco,5/17/20,96,4,0,0,57
Monaco,5/18/20,97,4,1,0,58
Monaco,5/19/20,97,4,0,0,59
Monaco,5/20/20,97,4,0,0,60
Monaco,5/21/20,97,4,0,0,61
Monaco,5/22/20,97,4,0,0,62
Monaco,5/23/20,98,4,1,0,63
Monaco,5/24/20,98,4,0,0,64
Monaco,5/25/20,98,4,0,0,65
Monaco,5/26/20,98,4,0,0,66
Monaco,5/27/20,98,4,0,0,67
Monaco,5/28/20,98,4,0,0,68
Monaco,5/29/20,98,4,0,0,69
Monaco,5/30/20,99,4,1,0,70
Monaco,5/31/20,99,4,0,0,71
Monaco,6/1/20,99,4,0,0,72
